ip|conn_type
109.110.40.95|Cable/DSL
109.110.41.16|Cable/DSL
109.110.42.103|Cable/DSL
109.110.42.15|Cable/DSL
109.110.42.17|Cable/DSL
109.110.42.40|Cable/DSL
109.110.42.46|Cable/DSL
109.110.42.58|Cable/DSL
109.110.42.68|Cable/DSL
109.110.42.80|Cable/DSL
109.110.42.99|Cable/DSL
109.110.43.29|Cable/DSL
109.110.43.4|Cable/DSL
109.110.43.74|Cable/DSL
109.110.44.247|Cable/DSL
109.110.57.13|Cable/DSL
109.110.58.2|Cable/DSL
109.110.58.9|Cable/DSL
109.110.59.27|Cable/DSL
109.110.59.4|Cable/DSL
109.111.1.129|Cellular
109.111.1.150|Cellular
109.111.10.255|Cellular
109.111.10.58|Cellular
109.111.11.126|Cellular
109.111.11.134|Cellular
109.111.11.202|Cellular
109.111.12.83|Cellular
109.111.128.204|Cable/DSL
109.111.129.237|Cable/DSL
109.111.132.43|Cable/DSL
109.111.135.212|Cable/DSL
109.111.14.143|Cellular
109.111.14.219|Cellular
109.111.144.156|Cable/DSL
109.111.15.12|Cellular
109.111.151.77|Cable/DSL
109.111.16.141|Cellular
109.111.17.122|Cellular
109.111.174.233|Cable/DSL
109.111.174.239|Cable/DSL
109.111.175.115|Cable/DSL
109.111.175.247|Cable/DSL
109.111.176.161|Cable/DSL
109.111.176.71|Cable/DSL
109.111.178.35|Cable/DSL
109.111.178.71|Cable/DSL
109.111.178.97|Cable/DSL
109.111.179.98|Cable/DSL
109.111.185.234|Cable/DSL
109.111.185.76|Cable/DSL
109.111.19.198|Cellular
109.111.2.229|Cellular
109.111.2.236|Cellular
109.111.2.58|Cellular
109.111.21.32|Cellular
109.111.21.83|Cellular
109.111.22.212|Cellular
109.111.23.151|Cellular
109.111.23.17|Cellular
109.111.24.131|Cellular
109.111.24.185|Cellular
109.111.25.65|Cellular
109.111.26.203|Cellular
109.111.26.34|Cellular
109.111.27.50|Cellular
109.111.27.58|Cellular
109.111.28.2|Cellular
109.111.29.193|Cellular
109.111.3.210|Cellular
109.111.30.223|Cellular
109.111.30.88|Cellular
109.111.5.50|Cellular
109.111.70.87|Cable/DSL
109.111.73.67|Cable/DSL
109.111.73.90|Cable/DSL
109.111.78.183|Cable/DSL
109.111.78.240|Cable/DSL
109.111.79.25|Cable/DSL
109.111.79.69|Cable/DSL
109.111.8.195|Cellular
109.111.8.38|Cellular
109.111.80.191|Cable/DSL
109.111.81.228|Cable/DSL
109.111.82.180|Cable/DSL
109.111.84.119|Cable/DSL
109.111.84.155|Cable/DSL
109.111.84.17|Cable/DSL
109.111.84.97|Cable/DSL
109.111.85.135|Cable/DSL
109.111.86.159|Cable/DSL
109.111.86.49|Cable/DSL
109.111.9.168|Cellular
109.111.9.53|Cellular
109.111.90.246|Cable/DSL
109.111.92.17|Cable/DSL
109.111.92.199|Cable/DSL
109.111.93.69|Cable/DSL
109.111.94.157|Cable/DSL
109.111.94.218|Cable/DSL
109.111.94.227|Cable/DSL
109.111.95.154|Cable/DSL
109.111.95.158|Cable/DSL
109.111.95.23|Cable/DSL
109.120.0.39|Cable/DSL
109.120.10.10|Cable/DSL
109.120.10.255|Cable/DSL
109.120.10.42|Cable/DSL
109.120.10.57|Cable/DSL
109.120.12.101|Cable/DSL
109.120.13.48|Cable/DSL
109.120.13.57|Cable/DSL
109.120.14.88|Cable/DSL
109.120.16.108|Cable/DSL
109.120.16.86|Cable/DSL
109.120.17.56|Cable/DSL
109.120.18.160|Cable/DSL
109.120.2.46|Cable/DSL
109.120.21.122|Cable/DSL
109.120.25.113|Cable/DSL
109.120.25.17|Cable/DSL
109.120.25.242|Cable/DSL
109.120.26.83|Cable/DSL
109.120.27.112|Cable/DSL
109.120.27.115|Cable/DSL
109.120.29.11|Cable/DSL
109.120.29.134|Cable/DSL
109.120.29.178|Cable/DSL
109.120.3.166|Cable/DSL
109.120.30.181|Cable/DSL
109.120.31.230|Cable/DSL
109.120.32.120|Cable/DSL
109.120.32.29|Cable/DSL
109.120.32.49|Cable/DSL
109.120.32.8|Cable/DSL
109.120.33.25|Cable/DSL
109.120.35.177|Cable/DSL
109.120.39.107|Cable/DSL
109.120.39.187|Cable/DSL
109.120.39.189|Cable/DSL
109.120.39.202|Cable/DSL
109.120.39.64|Cable/DSL
109.120.39.90|Cable/DSL
109.120.4.34|Cable/DSL
109.120.4.83|Cable/DSL
109.120.41.200|Cable/DSL
109.120.41.213|Cable/DSL
109.120.41.65|Cable/DSL
109.120.42.122|Cable/DSL
109.120.42.228|Cable/DSL
109.120.44.199|Cable/DSL
109.120.44.242|Cable/DSL
109.120.44.95|Cable/DSL
109.120.45.16|Cable/DSL
109.120.46.245|Cable/DSL
109.120.47.242|Cable/DSL
109.120.48.35|Cable/DSL
109.120.48.64|Cable/DSL
109.120.5.140|Cable/DSL
109.120.5.147|Cable/DSL
109.120.50.148|Cable/DSL
109.120.50.181|Cable/DSL
109.120.50.224|Cable/DSL
109.120.50.25|Cable/DSL
109.120.50.27|Cable/DSL
109.120.51.209|Cable/DSL
109.120.53.157|Cable/DSL
109.120.53.240|Cable/DSL
109.120.54.220|Cable/DSL
109.120.54.26|Cable/DSL
109.120.54.47|Cable/DSL
109.120.55.181|Cable/DSL
109.120.56.210|Cable/DSL
109.120.57.161|Cable/DSL
109.120.57.222|Cable/DSL
109.120.57.236|Cable/DSL
109.120.58.178|Cable/DSL
109.120.6.237|Cable/DSL
109.120.6.4|Cable/DSL
109.120.60.206|Cable/DSL
109.120.60.89|Cable/DSL
109.120.61.170|Cable/DSL
109.120.61.19|Cable/DSL
109.120.61.42|Cable/DSL
109.120.63.10|Cable/DSL
109.120.63.156|Cable/DSL
109.120.63.29|Cable/DSL
109.120.63.30|Cable/DSL
109.120.63.36|Cable/DSL
109.120.63.53|Cable/DSL
109.120.7.176|Cable/DSL
109.120.7.198|Cable/DSL
109.120.9.90|Cable/DSL
109.123.171.31|Cable/DSL
109.124.1.219|Cable/DSL
109.124.104.210|Cellular
109.124.12.112|Cable/DSL
109.124.12.210|Cable/DSL
109.124.125.14|Cellular
109.124.13.18|Cable/DSL
109.124.13.48|Cable/DSL
109.124.17.221|Cable/DSL
109.124.17.80|Cable/DSL
109.124.192.137|Cable/DSL
109.124.192.222|Cable/DSL
109.124.195.141|Cable/DSL
109.124.195.207|Cable/DSL
109.124.195.46|Cable/DSL
109.124.196.71|Cable/DSL
109.124.197.122|Cable/DSL
109.124.199.214|Cable/DSL
109.124.199.238|Cable/DSL
109.124.201.21|Cable/DSL
109.124.201.74|Cable/DSL
109.124.202.33|Cable/DSL
109.124.205.255|Cable/DSL
109.124.206.116|Cable/DSL
109.124.209.206|Cable/DSL
109.124.211.31|Cable/DSL
109.124.212.161|Cable/DSL
109.124.213.208|Cable/DSL
109.124.215.221|Cable/DSL
109.124.216.167|Cable/DSL
109.124.217.122|Cable/DSL
109.124.217.136|Cable/DSL
109.124.219.159|Cable/DSL
